County,Incidence,Rate
Bungoma,Incidence1/50,15.47
Busia,Incidence1/50,17.33
Kakamega,Incidence1/50,14.82
Nandi,Incidence1/50,15
Vihiga,Incidence1/50,10.6
Bungoma,Incidence 2/50,16.40
Busia,Incidence 2/50,17.00
Kakamega,Incidence 2/50,19.76
Nandi,Incidence 2/50,15
Vihiga,Incidence 2/50,14
Bungoma,Incidence 3/50,16.13
Busia,Incidence 3/50,18.33
Kakamega,Incidence 3/50,18.12
Nandi,Incidence 3/50,11
Vihiga,Incidence 3/50,11.6
Bungoma,Incidence 4/50,16.67
Busia,Incidence 4/50,19.00
Kakamega,Incidence 4/50,18.88
Nandi,Incidence 4/50,14
Vihiga,Incidence 4/50,9.4
Bungoma,Incidence 5/50,17.13
Busia,Incidence 5/50,18.00
Kakamega,Incidence 5/50,18.88
Nandi,Incidence 5/50,17.5
Vihiga,Incidence 5/50,12
